source_id,source_type,category,priority,technical_details,suggested_title
R001,app_store_review,Bug,High,"Pixel 7, Android 15, crash in weekly planner after 3.0.1 update","Crash opening Weekly Planner on Android"
R002,app_store_review,Praise,Low,"Positive review for calendar sync","Praise for calendar sync"
R003,app_store_review,Bug,High,"Login invalid token after update","Login fails with invalid token after update"
R004,app_store_review,Feature Request,Medium,"Requests dark mode and focus timer widget","Add dark mode and focus timer widget"
R005,app_store_review,Complaint,Medium,"Pricing complaint about free plan limits","Complaint about pricing and free plan limits"
R006,app_store_review,Bug,Critical,"Cross-device sync data loss","Tasks disappear during phone and tablet sync"
R007,app_store_review,Praise,Low,"Positive feedback for habits page","Praise for habits page"
R008,app_store_review,Spam,Low,"Promotional unrelated text","Spam promotional review"
R009,app_store_review,Feature Request,Medium,"Requests recurring monthly task templates","Add recurring task templates"
R010,app_store_review,Bug,Medium,"Slow startup and freeze on Samsung S22","Startup freeze on Samsung S22"
E001,support_email,Bug,High,"Pixel 7, Android 15, steps to crash Weekly Planner","Crash in Weekly Planner after 3.0.1"
E002,support_email,Feature Request,Medium,"Requests dark mode toggle in settings","Add dark mode setting"
E003,support_email,Bug,Critical,"iPhone 15, iOS 18.3, data loss after sync network switch","Completed tasks disappear after sync"
E004,support_email,Feature Request,Medium,"Requests CSV export for task history","Export task history to CSV"
E005,support_email,Praise,Low,"Positive support experience","Praise for support recovery help"
E006,support_email,Bug,High,"Samsung S22, Android 14, Google sign-in loop","Google sign-in loops on Android"
E007,support_email,Spam,Low,"Unrelated money offer","Spam support email"
E008,support_email,Complaint,Medium,"Performance complaint about dashboard load","Slow dashboard loading complaint"
