ticket_id,source_id,source_type,category,priority,title,description,technical_details,user_impact,confidence,status,quality_score,quality_notes
TKT-0001,R001,app_store_review,Bug,High,Bug: App crashes every time I open the weekly planner after the 3.0.1 update. I ,Source R001 (app_store_review) says: App crashes every time I open the weekly planner after the 3.0.1 update. I am on Pixel 7 Android 15.,Pixel 7; Google Play; 3.0.1,User is blocked or experiencing product reliability problems.,0.41,Approved,1.0,Approved.
TKT-0002,R002,app_store_review,Praise,Low,Praise: Amazing app. The calendar sync works perfectly and saves me time every morn,Source R002 (app_store_review) says: Amazing app. The calendar sync works perfectly and saves me time every morning.,No technical extraction required for this feedback type.,Captured for product analytics and support visibility.,0.63,Approved,1.0,Approved.
TKT-0003,R003,app_store_review,Bug,High,Bug: Can't login since the last update. It keeps saying invalid token even after,Source R003 (app_store_review) says: Can't login since the last update. It keeps saying invalid token even after resetting password.,Google Play; 3.0.0,User is blocked or experiencing product reliability problems.,0.65,Approved,1.0,Approved.
TKT-0004,R004,app_store_review,Feature Request,Medium,Feature Request: Please add dark mode and a focus timer widget. I would love to see both in ,Source R004 (app_store_review) says: Please add dark mode and a focus timer widget. I would love to see both in the next release.,"Requested capability should be validated against roadmap and product documentation. Related product context: The product is a B2C productivity mobile app for tasks, habits, planner views, and calendar sync. Known product areas:
- Login and Google sign-in
- Weekly Planner
- Task sync acros",Improves productivity workflow and user satisfaction for affected users.,0.53,Approved,1.0,Approved.
TKT-0005,R005,app_store_review,Complaint,Medium,Complaint: The app is too expensive now and the free plan is too limited,Source R005 (app_store_review) says: The app is too expensive now and the free plan is too limited.,No technical extraction required for this feedback type.,Captured for product analytics and support visibility.,0.61,Approved,1.0,Approved.
TKT-0006,R006,app_store_review,Bug,Critical,Bug: Data sync not working between phone and tablet. Tasks disappear after I mar,Source R006 (app_store_review) says: Data sync not working between phone and tablet. Tasks disappear after I mark them done.,Google Play; 3.0.1,User is blocked or experiencing product reliability problems.,0.65,Approved,1.0,Approved.
TKT-0007,R007,app_store_review,Praise,Low,Praise: Love the new habits page. It is simple and fast,Source R007 (app_store_review) says: Love the new habits page. It is simple and fast.,No technical extraction required for this feedback type.,Captured for product analytics and support visibility.,0.39,Approved,1.0,Approved.
TKT-0008,R008,app_store_review,Spam,Low,Spam: BUY CHEAP FOLLOWERS NOW visit promo-example dot com!!!!,Source R008 (app_store_review) says: BUY CHEAP FOLLOWERS NOW visit promo-example dot com!!!!,No technical extraction required for this feedback type.,Captured for product analytics and support visibility.,0.77,Approved,1.0,Approved.
TKT-0009,R009,app_store_review,Feature Request,Medium,Feature Request: Missing recurring task templates for monthly bills. Please add reusable tem,Source R009 (app_store_review) says: Missing recurring task templates for monthly bills. Please add reusable templates.,"Requested capability should be validated against roadmap and product documentation. Related product context: Known product areas:
- Login and Google sign-in
- Weekly Planner
- Task sync across phone and tablet
- Habits page
- Calendar sync
- Dashboard startup performance
- Task history an",Improves productivity workflow and user satisfaction for affected users.,0.53,Approved,1.0,Approved.
TKT-0010,R010,app_store_review,Bug,Medium,Bug: App is slow on startup and sometimes freezes for 20 seconds on Samsung S22,Source R010 (app_store_review) says: App is slow on startup and sometimes freezes for 20 seconds on Samsung S22.,Samsung S22; Google Play; 3.0.1,User is blocked or experiencing product reliability problems.,0.41,Approved,1.0,Approved.
TKT-0011,E001,support_email,Bug,High,"Bug: App Crash Report. Hi team, after upgrading to version 3.0.1 the app crashes","Source E001 (support_email) says: App Crash Report. Hi team, after upgrading to version 3.0.1 the app crashes when I tap Weekly Planner. Device: Pixel 7. OS: Android 15. Steps: open app, tap Planner, choose Weekly view, crash.","Pixel 7; Steps: open app, tap Planner, choose Weekly view, crash.",User is blocked or experiencing product reliability problems.,0.29,Approved,1.0,Approved.
TKT-0012,E002,support_email,Feature Request,Medium,"Feature Request: Feature Request: Dark Mode. Hello, I use the app at night and would like da","Source E002 (support_email) says: Feature Request: Dark Mode. Hello, I use the app at night and would like dark mode. A quick toggle in settings would help a lot.","Requested capability should be validated against roadmap and product documentation. Related product context: The product is a B2C productivity mobile app for tasks, habits, planner views, and calendar sync. Supported platforms:
- Google Play Android app
- Apple App Store iOS app",Improves productivity workflow and user satisfaction for affected users.,0.29,Approved,1.0,Approved.
TKT-0013,E003,support_email,Bug,Critical,"Bug: Data Loss Problem. My completed tasks disappeared after sync. iPhone 15, iO","Source E003 (support_email) says: Data Loss Problem. My completed tasks disappeared after sync. iPhone 15, iOS 18.3, app 3.0.1. It happened after switching from Wi-Fi to mobile data.",iPhone 15,User is blocked or experiencing product reliability problems.,0.53,Approved,1.0,Approved.
TKT-0014,E004,support_email,Feature Request,Medium,Feature Request: Suggestion for Improvement. Could you add export to CSV for task history? I,Source E004 (support_email) says: Suggestion for Improvement. Could you add export to CSV for task history? I need it for monthly reporting.,"Requested capability should be validated against roadmap and product documentation. Related product context: Medium priority signals:
- Performance slowdown
- Pricing complaints
- Feature requests with productivity impact Low priority signals:
- Praise
- Spam
- General non-actionable comm",Improves productivity workflow and user satisfaction for affected users.,0.77,Approved,1.0,Approved.
TKT-0015,E005,support_email,Praise,Low,Praise: Thank you. Your support team helped me recover my list quickly. Great servi,Source E005 (support_email) says: Thank you. Your support team helped me recover my list quickly. Great service.,No technical extraction required for this feedback type.,Captured for product analytics and support visibility.,0.77,Approved,1.0,Approved.
TKT-0016,E006,support_email,Bug,High,Bug: Login Issue. I cannot login with Google sign-in. It loops back to the login,"Source E006 (support_email) says: Login Issue. I cannot login with Google sign-in. It loops back to the login screen. Samsung S22, Android 14.",Samsung S22,User is blocked or experiencing product reliability problems.,0.53,Approved,1.0,Approved.
TKT-0017,E007,support_email,Spam,Low,Spam: Random Offer. Earn money fast by clicking this link and sharing it with fri,Source E007 (support_email) says: Random Offer. Earn money fast by clicking this link and sharing it with friends.,No technical extraction required for this feedback type.,Captured for product analytics and support visibility.,0.53,Approved,1.0,Approved.
TKT-0018,E008,support_email,Complaint,Medium,Complaint: App is too slow. The app opens slowly and takes too long to load my dashboa,Source E008 (support_email) says: App is too slow. The app opens slowly and takes too long to load my dashboard. Please improve performance.,No technical extraction required for this feedback type.,Captured for product analytics and support visibility.,0.53,Approved,1.0,Approved.
